construction;preposition;lemma;pos;meaning;Masini_freq;dataset_freq
lettere su lettere;su;lettere;pl;nominal;greater_plurality/accumulation;6;0
letture su letture;su;lettura;pl;nominal;greater_plurality/accumulation;1;1
libri su libri;su;libro;pl;nominal;greater_plurality/accumulation;6;6
limoni su limoni;su;limone;pl;nominal;greater_plurality/accumulation;1;1
lira su lira;su;lira;sg;modifier;succession/iteration/distributivity;1;1
liste su liste;su;lista;pl;nominal;greater_plurality/accumulation;1;1
lunghezza su lunghezza;su;lunghezza;sg;nominal;greater_plurality/accumulation;1;1
maglie su maglie;su;maglia;pl;nominal;greater_plurality/accumulation;1;1
manciate su manciate;su;manciata;pl;nominal;greater_plurality/accumulation;1;1
mano a mano;a;mano;sg;modifier;idiosyncratic;223;218
massacri su massacri;su;massacro;pl;nominal;greater_plurality/accumulation;1;1
materia su materia;su;materia;sg;nominal;greater_plurality/accumulation;1;1
mattone su mattone;su;mattone;sg;modifier;succession/iteration/distributivity;11;10
melodie su melodie;su;melodia;pl;nominal;greater_plurality/accumulation;1;1
memoria su memoria;su;memoria;sg;modifier;succession/iteration/distributivity;1;1
meraviglie su meraviglie;su;meraviglia;pl;nominal;greater_plurality/accumulation;1;1
mese su mese;su;mese;sg;modifier;connection/transition;2;2
metallo su metallo;su;metallo;sg;modifier;juxtaposition/contact;1;1
metri su metri;su;metro;pl;nominal;greater_plurality/accumulation;1;1
metro su metro;su;metro;sg;nominal;greater_plurality/accumulation;1;1
miliardi su miliardi;su;milardi;pl;nominal;greater_plurality/accumulation;5;0
miliardi su miliardi;su;miliardo;pl;nominal;greater_plurality/accumulation;0;5
milioni su milioni;su;milione;pl;nominal;greater_plurality/accumulation;2;2
minchiate su minchiate;su;minchiata;pl;nominal;greater_plurality/accumulation;1;1
minuti su minuti;su;minuto;pl;nominal;greater_plurality/accumulation;1;1
miracolo su miracolo;su;miracolo;sg;modifier;succession/iteration/distributivity;1;1
